Date (Months),Monthly Rainfall Total (mm),Mean Wind Speed (km/h),Max Wind Speed (km/h),MeanTemperature (°C),MaximumTemperature (°C),MinimumTemperature (°C)
2000-09,81.1,7.063333333,33.80666667,28.06,32.15333333,25.21666667
2000-10,120.9,4.964516129,32.92903226,27.8,31.80322581,24.92580645
2000-11,385.7,5.36,32.45,27.31,31.27,24.67
2000-12,236,5.187096774,30.03548387,26.98709677,30.99677419,24.36129032
2001-01,425.8,5.95483871,30.01612903,26.52903226,30.28064516,23.99677419
2001-02,86.6,7.957142857,31,26.96428571,30.85714286,24.53571429
2001-03,297.3,5.167741935,34.28709677,27.46129032,31.84193548,24.19677419
2001-04,203.3,3.763333333,30.57666667,27.75333333,31.79,25.06666667
2001-05,164.9,5.648387097,30.70322581,28.52580645,32.20967742,25.74516129
2001-06,137.1,5.94,32.36333333,28.16333333,31.43666667,25.40666667
2001-07,111.3,7.770967742,33.02258065,28.44516129,32.24516129,25.52580645
2001-08,158.3,6.819354839,30.4,28.00322581,31.09032258,25.21612903
2001-09,162,6.76,33.55333333,27.99,31.62,25.23333333
2001-10,252.2,4.841935484,29.84516129,27.6483871,31.36451613,24.74193548
2001-11,175.3,5.87,28.63,27.16333333,30.83666667,24.73
2001-12,609,6.812903226,31.09677419,26.69677419,30.73225806,24.06451613
2002-01,221.2,11.20322581,36.31612903,27.04516129,30.91290323,24.50967742
2002-02,50.8,11.74285714,36.36428571,27.29642857,31.27142857,24.45714286
2002-03,55.6,9.690322581,34.32903226,28.20967742,33.04516129,25.0516129
2002-04,116.5,6.076666667,31.01,28.61333333,33.01333333,25.61666667
2002-05,236.6,7.758064516,31.76129032,28.87741935,32.57741935,26.14193548
2002-06,83.1,7.2,30.27666667,28.68333333,32.14,25.99666667
2002-07,233.7,10.37741935,34.85806452,28.41935484,31.95806452,25.47741935
2002-08,54.2,10.8516129,34.86451613,28.48709677,31.89032258,25.60322581
2002-09,124.2,7.876666667,33.84,28.06666667,31.72666667,25.10333333
2002-10,10.8,5.861290323,31.40322581,28.67741935,33.0483871,25.73225806
2002-11,307.2,4.396666667,26.93666667,27.43333333,31.68666667,24.56
2002-12,255,4.748387097,30.3,27.18709677,31.27419355,24.71612903
2003-01,444.2,9.116129032,34.77419355,26.66129032,30.13225806,24.38387097
2003-02,172.9,9.903571429,35.06785714,27.09285714,30.79285714,24.42142857
2003-03,154.6,6.938709677,29.68387097,28.07096774,32.27741935,25.23225806
2003-04,159.9,4.033333333,26.87,27.88666667,32.11666667,25.32
2003-05,81.8,6.058064516,24.82903226,29.19677419,32.68064516,26.49032258
2003-06,50.3,9.163333333,34.56,28.95333333,32.69,25.99666667
2003-07,170.4,9.616129032,31.32258065,28.13870968,31.49677419,25.12903226
2003-08,193.6,8.909677419,32.18387097,28.22903226,31.77419355,25.49032258
2003-09,205.3,6.463333333,32.55666667,27.61333333,31.23333333,24.83
2003-10,351.4,5.990322581,31.3483871,27.61290323,31.13548387,24.5516129
2003-11,133.8,3.743333333,28.14,27.12666667,30.96666667,24.69666667
2003-12,273,7.483870968,32.05806452,26.55806452,29.91290323,24.29677419
2004-01,600.9,10.26451613,34.63225806,26.86129032,30.58387097,24.21612903
2004-02,31.9,11.94827586,33.40689655,27.63448276,31.98965517,24.74482759
2004-03,269.4,6.580645161,31.18387097,27.69032258,32.17096774,24.75806452
2004-04,57.1,6.003333333,30.79333333,28.86666667,33.32,26.07
